ingredient_id,name_en,name_es,category,diet,allergens,piece_grams,package_price_eur,package_size,package_unit,supermarket,zone,sku,product_name,captured_at,product_url
rice_round,Round rice,Arroz redondo,grains,vegan,,,1.6,1.0,kg,dia,es-default,310496,Arroz redondo J.Sendra Dia Arrozona 1 Kg,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/310496
rice_long,Long-grain rice,Arroz largo,grains,vegan,,,1.2,1.0,kg,dia,es-default,5873,Arroz largo Dia Arrozona 1 Kg,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/5873
spaghetti,Spaghetti,Espaguetis,grains,vegan,gluten,,0.8,0.5,kg,dia,es-default,520,Espagueti Dia Al Diante 500 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/macarrones-espaguetis-y-pastas-secas/p/520
macaroni,Macaroni,Macarrones,grains,vegan,gluten,,0.8,0.5,kg,dia,es-default,518,Macarrones Dia Al Diante 500 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/macarrones-espaguetis-y-pastas-secas/p/518
flour,Wheat flour,Harina de trigo,grains,vegan,gluten,,0.72,1.0,kg,dia,es-default,505,Harina de trigo El Molino de Dia 1 Kg,2026-09-21,https://www.dia.es/bolleria-reposteria-y-azucar/harinas-y-levaduras/p/505
oats,Rolled oats,Copos de avena,grains,vegan,gluten,,0.82,0.5,kg,dia,es-default,105429,Copos de avena Gran Dia 500 g,2026-09-21,https://www.dia.es/galletas-cereales-y-mermeladas/cereales-integrales-y-muesli/p/105429
sliced_bread,Sliced white bread,Pan de molde,bread,vegetarian,gluten,,1.15,0.82,kg,dia,es-default,77955,Pan de molde blanco El Molino de Dia 820 g,2026-09-21,https://www.dia.es/panaderia/pan-de-molde-y-especiales/p/77955
baguette,Bread stick (barra),Barra de pan,bread,vegan,gluten,,0.5,0.25,kg,dia,es-default,38109,Barra de pan Diana El Molino de Dia 250 g,2026-09-21,https://www.dia.es/panaderia/pan-recien-horneado/p/38109
wheat_tortillas,Wheat tortillas,Tortillas de trigo,bread,vegan,gluten,,1.02,0.32,kg,dia,es-default,13356,Tortillas de trigo Dia Al Punto 320 g,2026-09-21,https://www.dia.es/panaderia/tortillas-de-trigo-y-pitas/p/13356
breadcrumbs,Breadcrumbs,Pan rallado,bread,vegan,gluten,,0.85,0.75,kg,dia,es-default,56050,Pan rallado El Molino de Dia 750 g,2026-09-21,https://www.dia.es/panaderia/pan-rallado-tostado-y-picos/p/56050
lentils_cooked,Cooked lentils (jar),Lentejas cocidas,legumes,vegan,,,0.9,0.4,kg,dia,es-default,58809,Lentejas cocidas Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/58809
lentils_dry,Dry lentils,Lentejas secas,legumes,vegan,,,0.99,0.5,kg,dia,es-default,304292,Lentejas Dia Vegecampo 500 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/304292
chickpeas_cooked,Cooked chickpeas (jar),Garbanzos cocidos,legumes,vegan,,,0.8,0.4,kg,dia,es-default,1232,Garbanzos cocidos Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/1232
white_beans_cooked,Cooked white beans (jar),Alubias blancas cocidas,legumes,vegan,,,0.75,0.4,kg,dia,es-default,1233,Alubias blancas cocidas Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/1233
red_beans_cooked,Cooked red beans (jar),Alubias rojas cocidas,legumes,vegan,,,1.2,0.4,kg,dia,es-default,210523,Alubias rojas cocidas Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/210523
hummus,Hummus,Hummus,legumes,vegan,sesame,,1.29,0.22,kg,dia,es-default,278849,Hummus clásico Dia Al Punto 220 g,2026-09-21,https://www.dia.es/platos-preparados-y-pizzas/hummus-y-guacamoles/p/278849
peanuts,Roasted peanuts (unsalted),Cacahuetes tostados,legumes,vegan,peanuts,,1.05,0.2,kg,dia,es-default,298912,Cacahuetes tostados sin sal añadida Dia Naturmundo 200 g,2026-09-21,https://www.dia.es/aperitivos-y-frutos-secos/frutos-secos/p/298912
eggs_6,Eggs (6),Huevos (6),dairy_eggs,vegetarian,egg,,2.2,6.0,ud,dia,es-default,305802,Huevos extragrandes L/XL de gallinas criadas en suelo Dia 6 unidades,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/305802
eggs_12,Eggs (12),Huevos (12),dairy_eggs,vegetarian,egg,,2.85,12.0,ud,dia,es-default,274010,Huevos medianos M de gallinas criadas en suelo Dia 12 unidades,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274010
milk,Semi-skimmed milk,Leche semidesnatada,dairy_eggs,vegetarian,milk,,0.84,1.0,l,dia,es-default,504,Leche semidesnatada Dia Láctea 1 L,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/leche/p/504
butter,Butter,Mantequilla,dairy_eggs,vegetarian,milk,,2.05,0.25,kg,dia,es-default,268201,Mantequilla sin sal Dia Láctea 250 g,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/mantequilla-y-margarina/p/268201
