ingredient_id,name_en,name_es,category,diet,allergens,package_price_eur,package_size,package_unit,supermarket,zone,sku,product_name,captured_at,product_url
rice_round,Round rice,Arroz redondo,grains,vegan,,1.15,1.0,kg,mercadona,mad1,5044,Arroz redondo Hacendado,2026-09-21,https://tienda.mercadona.es/product/5044/arroz-redondo-hacendado-paquete
rice_long,Long-grain rice,Arroz largo,grains,vegan,,1.2,1.0,kg,mercadona,mad1,5063,Arroz largo Hacendado,2026-09-21,https://tienda.mercadona.es/product/5063/arroz-largo-hacendado-paquete
spaghetti,Spaghetti,Espaguetis,grains,vegan,gluten,0.8,0.5,kg,mercadona,mad1,6331,Spaghetti Hacendado,2026-09-21,https://tienda.mercadona.es/product/6331/spaghetti-hacendado-paquete
macaroni,Macaroni,Macarrones,grains,vegan,gluten,0.8,0.5,kg,mercadona,mad1,6326,Macarrón Hacendado,2026-09-21,https://tienda.mercadona.es/product/6326/macarron-hacendado-paquete
flour,Wheat flour,Harina de trigo,grains,vegan,gluten,0.72,1.0,kg,mercadona,mad1,29100,Harina de trigo Hacendado,2026-09-21,https://tienda.mercadona.es/product/29100/harina-trigo-hacendado-paquete
oats,Rolled oats,Copos de avena,grains,vegan,gluten,1.3,0.8,kg,mercadona,mad1,86341,Copos de avena Brüggen,2026-09-21,https://tienda.mercadona.es/product/86341/copos-avena-bruggen-caja
sliced_bread,Sliced white bread,Pan de molde,bread,vegetarian,gluten,0.8,0.46,kg,mercadona,mad1,13810,Pan de molde blanco Hacendado,2026-09-21,https://tienda.mercadona.es/product/13810/pan-molde-blanco-hacendado-paquete
baguette,Bread stick (barra),Barra de pan,bread,vegan,gluten,0.5,0.25,kg,mercadona,mad1,83202.1,Barra de pan,2026-09-21,https://tienda.mercadona.es/product/83202.1/barra-pan
wheat_tortillas,Wheat tortillas,Tortillas de trigo,bread,vegan,gluten,1.15,0.36,kg,mercadona,mad1,80859,Tortillas de trigo Hacendado,2026-09-21,https://tienda.mercadona.es/product/80859/tortillas-trigo-hacendado-paquete
breadcrumbs,Breadcrumbs,Pan rallado,bread,vegan,gluten,0.85,0.75,kg,mercadona,mad1,82219,Pan rallado Hacendado,2026-09-21,https://tienda.mercadona.es/product/82219/pan-rallado-hacendado-paquete
lentils_cooked,Cooked lentils (jar),Lentejas cocidas,legumes,vegan,,0.9,0.57,kg,mercadona,mad1,26030,Lenteja cocida Hacendado,2026-09-21,https://tienda.mercadona.es/product/26030/lenteja-cocida-hacendado-tarro
