ingredient_id,sku,package_size,package_unit,note
rice_round,310496,,,
rice_long,5873,,,
spaghetti,520,,,
macaroni,518,,,
flour,505,,,
oats,105429,,,
sliced_bread,77955,,,
baguette,38109,,,
wheat_tortillas,13356,,,
breadcrumbs,56050,,,
lentils_cooked,58809,,,
lentils_dry,304292,,,
chickpeas_cooked,1232,,,
white_beans_cooked,1233,,,
red_beans_cooked,210523,,,
tofu,,,,Dia sells no tofu online on this date
hummus,278849,,,
peanuts,298912,,,
eggs_6,305802,6,ud,size read from the product name
eggs_12,274010,12,ud,size read from the product name
milk,504,,,
butter,268201,,,
yogurt,272536,,,8 x 125 g instead of 6 x 125 g
grated_cheese,20423,,,
mozzarella,108698,,,
cheese_slices,302962,,,processed sandwich cheese; Dia sells no natural cheese slices online
fresh_cheese,115669,,,
cooking_cream,294393,,,
soy_drink,294323,,,
oat_drink,267682,,,
crushed_tomato,326,,,
chopped_tomato,10687,,,
tomato_frito,10677,,,
sweetcorn,1250,,,
peas_canned,46586,,,
mushrooms_canned,1666,,,
olives_black,142058,,,
chicken_stock,54127,,,
mayonnaise,53720,,,
soy_sauce,287019,,,
olive_oil,104,,,
sunflower_oil,101,,,
vinegar,422,,,
salt,419,,,
sugar,81798,,,
black_pepper,299147,,,
paprika,297208,,,
oregano,1293,,,
cumin,299132,,,
curry,299133,,,
garlic,17653,,,
garlic_frozen,253954,,,
onions,11459,,,1 kg bag
onion_frozen,51713,,,
potato,5631,,,1 kg bag instead of loose pieces
carrots,11421,,,1 kg bag
tomato,191011,,,500 g tray
pepper_red,74,,,
pepper_green,116,,,
zucchini,93,,,
eggplant,190830,,,
broccoli,20002,,,
cucumber,1015,,,
lettuce,11462,1,ud,
salad_mix,105299,,,
mushrooms_fresh,271527,,,
spinach_frozen,263820,,,
green_beans_frozen,263267,,,1 kg bag
veg_stirfry_frozen,267132,,,
menestra_frozen,1389,,,1 kg bag
banana,42070,,,
apple,11466,,,1 kg bag
orange,175058,,,
lemon,11463,,,
chicken_breast,21977,,,
chicken_thighs,41736,,,
chicken_drumsticks,4211,,,
minced_pork,261238,,,
minced_beef_pork,261241,,,
minced_chicken,291140,,,
sausages,303888,,,
bacon,273750,,,
chorizo,273988,,,
ham,305619,,,
tuna_oil,262429,,,
salmon_frozen,274390,,,fresh salmon loins; Dia sells no frozen salmon portions online
