ingredient_id,sku,package_size,package_unit,note
rice_round,5044,,,
rice_long,5063,,,
spaghetti,6331,,,
macaroni,6326,,,
flour,29100,,,
oats,86341,,,
sliced_bread,13810,,,
baguette,83202.1,,,
wheat_tortillas,80859,,,
breadcrumbs,82219,,,
lentils_cooked,26030,,,
lentils_dry,5330,,,
chickpeas_cooked,26029,,,
white_beans_cooked,26019,,,
red_beans_cooked,26000,,,
tofu,51097,,,
hummus,80858,,,
peanuts,13451,,,
eggs_6,31540,,,
eggs_12,31505,,,
milk,10382,,,
butter,20716,,,
yogurt,22313,,,
grated_cheese,23621,,,
mozzarella,51050,,,
cheese_slices,50371,,,
fresh_cheese,52408,,,
cooking_cream,10161,,,
soy_drink,14707,,,
oat_drink,52640,,,
crushed_tomato,16044,,,
chopped_tomato,16022,,,
tomato_frito,17108,,,
sweetcorn,16714,,,
peas_canned,16416,,,
mushrooms_canned,16618,,,
olives_black,52734,,,
chicken_stock,7313,,,
mayonnaise,52728,,,
soy_sauce,17360,,,
olive_oil,4240,,,
sunflower_oil,4040,,,
vinegar,4940,,,
salt,19731,,,
sugar,19897,,,
black_pepper,34171,,,
paprika,60573,,,
oregano,5598,,,
cumin,34120,,,
curry,34125,,,
garlic,69297,,,
garlic_frozen,61251,,,
onions,69089,,,
onion_frozen,13568,,,
potato,69066,,,
carrots,69669,,,
tomato,69912,,,
pepper_red,69310,,,
pepper_green,69312,,,
zucchini,69338,,,
eggplant,69326,,,
broccoli,69580,,,
cucumber,69584,,,
lettuce,68130,,,
salad_mix,69706,,,
mushrooms_fresh,26951,,,
spinach_frozen,61279,,,
green_beans_frozen,61283,,,
veg_stirfry_frozen,61065,,,
menestra_frozen,52534,,,
banana,3824,,,
apple,8177,,,
orange,3235,,,
lemon,3210,,,
chicken_breast,2787,,,
chicken_thighs,2789,,,
chicken_drumsticks,2778,,,
minced_pork,2867,,,
minced_beef_pork,2869,,,
minced_chicken,35774,,,
sausages,53042,,,
bacon,16252,,,
chorizo,59086,,,
ham,13988,,,
tuna_oil,18092,,,
salmon_frozen,26749,,,
