ingredient_id,name_en,name_es,category,diet,allergens,piece_grams
rice_round,Round rice,Arroz redondo,grains,vegan,,
rice_long,Long-grain rice,Arroz largo,grains,vegan,,
spaghetti,Spaghetti,Espaguetis,grains,vegan,gluten,
macaroni,Macaroni,Macarrones,grains,vegan,gluten,
flour,Wheat flour,Harina de trigo,grains,vegan,gluten,
oats,Rolled oats,Copos de avena,grains,vegan,gluten,
sliced_bread,Sliced white bread,Pan de molde,bread,vegetarian,gluten,
baguette,Bread stick (barra),Barra de pan,bread,vegan,gluten,
wheat_tortillas,Wheat tortillas,Tortillas de trigo,bread,vegan,gluten,
breadcrumbs,Breadcrumbs,Pan rallado,bread,vegan,gluten,
lentils_cooked,Cooked lentils (jar),Lentejas cocidas,legumes,vegan,,
lentils_dry,Dry lentils,Lentejas secas,legumes,vegan,,
chickpeas_cooked,Cooked chickpeas (jar),Garbanzos cocidos,legumes,vegan,,
white_beans_cooked,Cooked white beans (jar),Alubias blancas cocidas,legumes,vegan,,
red_beans_cooked,Cooked red beans (jar),Alubias rojas cocidas,legumes,vegan,,
tofu,Firm tofu,Tofu firme,legumes,vegan,soy,
hummus,Hummus,Hummus,legumes,vegan,sesame,
peanuts,Roasted peanuts (unsalted),Cacahuetes tostados,legumes,vegan,peanuts,
eggs_6,Eggs (6),Huevos (6),dairy_eggs,vegetarian,egg,
eggs_12,Eggs (12),Huevos (12),dairy_eggs,vegetarian,egg,
milk,Semi-skimmed milk,Leche semidesnatada,dairy_eggs,vegetarian,milk,
butter,Butter,Mantequilla,dairy_eggs,vegetarian,milk,
yogurt,Plain yogurt,Yogur natural,dairy_eggs,vegetarian,milk,
grated_cheese,Grated cheese,Queso rallado,dairy_eggs,vegetarian,milk,
mozzarella,Fresh mozzarella,Mozzarella fresca,dairy_eggs,vegetarian,milk,
cheese_slices,Cheese slices,Queso en lonchas,dairy_eggs,vegetarian,milk,
fresh_cheese,Fresh Burgos cheese,Queso fresco,dairy_eggs,vegetarian,milk,
cooking_cream,Cooking cream,Nata para cocinar,dairy_eggs,vegetarian,milk,
soy_drink,Soy drink,Bebida de soja,dairy_eggs,vegan,soy,
oat_drink,Oat drink,Bebida de avena,dairy_eggs,vegan,gluten,
crushed_tomato,Crushed tomato (can),Tomate triturado,pantry,vegan,,
chopped_tomato,Chopped peeled tomato (can),Tomate troceado,pantry,vegan,,
tomato_frito,Tomato sauce (tomate frito),Tomate frito,pantry,vegan,,
sweetcorn,Sweetcorn (can),Maíz dulce,pantry,vegan,,
peas_canned,Peas (jar),Guisantes,pantry,vegan,,
mushrooms_canned,Sliced mushrooms (can),Champiñones laminados en conserva,pantry,vegan,,
olives_black,Pitted black olives,Aceitunas negras sin hueso,pantry,vegan,,
chicken_stock,Chicken stock,Caldo de pollo,pantry,meat,celery,
mayonnaise,Mayonnaise,Mayonesa,pantry,vegetarian,egg,
soy_sauce,Soy sauce,Salsa de soja,pantry,vegan,"soy,gluten",
olive_oil,Olive oil,Aceite de oliva,pantry,vegan,,
sunflower_oil,Sunflower oil,Aceite de girasol,pantry,vegan,,
vinegar,White wine vinegar,Vinagre de vino blanco,pantry,vegan,sulphites,
salt,Fine salt,Sal fina,pantry,vegan,,
sugar,White sugar,Azúcar blanco,pantry,vegan,,
black_pepper,Ground black pepper,Pimienta negra molida,spices,vegan,,
paprika,Sweet paprika,Pimentón dulce,spices,vegan,,
oregano,Oregano,Orégano,spices,vegan,,
cumin,Ground cumin,Comino molido,spices,vegan,,
curry,Curry powder,Curry,spices,vegan,mustard,
garlic,Garlic,Ajos,vegetables,vegan,,50
garlic_frozen,Chopped garlic (frozen),Ajo troceado congelado,vegetables,vegan,,
onions,Onions,Cebollas,vegetables,vegan,,150
onion_frozen,Chopped onion (frozen),Cebolla troceada congelada,vegetables,vegan,,
potato,Potato,Patata,vegetables,vegan,,260
carrots,Carrots,Zanahorias,vegetables,vegan,,80
tomato,Plum tomato,Tomate pera,vegetables,vegan,,140
pepper_red,Red pepper,Pimiento rojo,vegetables,vegan,,280
pepper_green,Green pepper,Pimiento verde,vegetables,vegan,,260
zucchini,Zucchini,Calabacín,vegetables,vegan,,380
eggplant,Eggplant,Berenjena,vegetables,vegan,,380
